"id","timestampStart","timestampEnd","bikeNumber","stationStart","stationEnd","startLocationLat","startLocationLon","endLocationLat","endLocationLon","distanceInMeters","timeInMinutes"
"211","2022-10-13","2022-10-13","700","12","44","46.06361","14.51315","46.064546","14.518013","390","5"
"212","2022-10-13","2022-10-13","700","44","77","46.064546","14.518013","46.068727","14.516858","473","6"
"213","2022-10-13","2022-10-13","700","77","29","46.068727","14.516858","46.074193","14.511134","752","11"
"214","2022-10-13","2022-10-13","700","29","11","46.074193","14.511134","46.06005","14.51302","1579","14"
"215","2022-10-13","2022-10-13","700","11","77","46.06005","14.51302","46.068727","14.516858","1009","9"
"216","2022-10-13","2022-10-13","700","77","18","46.068727","14.516858","46.044629","14.486699","3553","23"
"217","2022-10-13","2022-10-13","700","18","13","46.044629","14.486699","46.047565","14.495687","768","5"
"218","2022-10-13","2022-10-13","700","13","8","46.047565","14.495687","46.05682","14.50551","1279","11"
"219","2022-10-13","2022-10-13","700","8","30","46.05682","14.50551","46.07589","14.52011","2402","15"
"220","2022-10-13","2022-10-13","700","30","31","46.07589","14.52011","46.08259","14.52016","745","6"
"221","2022-10-13","2022-10-13","700","31","34","46.08259","14.52016","46.068805","14.546257","2534","12"
"222","2022-10-13","2022-10-13","700","34","15","46.068805","14.546257","46.049877","14.516308","3130","60"
"223","2022-10-13","2022-10-13","700","15","10","46.049877","14.516308","46.05763","14.514264","876","8"
"224","2022-10-13","2022-10-13","700","10","74","46.05763","14.514264","46.051512","14.539272","2051","38"
"225","2022-10-14","2022-10-14","700","74","78","46.051512","14.539272","46.039384","14.485458","4378","30"
"226","2022-10-14","2022-10-14","700","78","64","46.039384","14.485458","46.042867","14.495239","850","14"
"227","2022-10-14","2022-10-14","700","64","3","46.042867","14.495239","46.050388","14.504623","1107","83"
"228","2022-10-14","2022-10-14","700","3","10","46.050388","14.504623","46.05763","14.514264","1098","17"
"229","2022-10-14","2022-10-14","700","10","80","46.05763","14.514264","46.045","14.51846","1441","12"
"230","2022-10-14","2022-10-14","700","80","6","46.045","14.51846","46.045748","14.506196","953","9"
"231","2022-10-14","2022-10-14","700","6","40","46.045748","14.506196","46.039641","14.472664","2683","21"
"232","2022-10-12","2022-10-12","790","11","19","46.06005","14.51302","46.05952","14.4982","1148","8"
"233","2022-10-12","2022-10-12","790","19","61","46.05952","14.4982","46.036284","14.522948","3215","18"
"234","2022-10-13","2022-10-13","790","61","4","46.036284","14.522948","46.052431","14.503257","2355","15"
"235","2022-10-13","2022-10-13","790","4","14","46.052431","14.503257","46.046377","14.501256","691","9"
"236","2022-10-13","2022-10-13","790","14","55","46.046377","14.501256","46.048982","14.522709","1685","108"
"237","2022-10-13","2022-10-13","790","55","22","46.048982","14.522709","46.040213","14.512044","1277","9"
"238","2022-10-13","2022-10-13","790","22","6","46.040213","14.512044","46.045748","14.506196","764","8"
"239","2022-10-13","2022-10-13","790","6","52","46.045748","14.506196","46.052454","14.472149","2738","18"
"240","2022-10-13","2022-10-13","790","52","45","46.052454","14.472149","46.062475","14.524321","4188","26"
"241","2022-10-14","2022-10-14","790","45","16","46.062475","14.524321","46.05257","14.51928","1168","12"
"242","2022-10-14","2022-10-14","790","16","12","46.05257","14.51928","46.06361","14.51315","1316","21"
"243","2022-10-14","2022-10-14","790","12","8","46.06361","14.51315","46.05682","14.50551","959","11"
"244","2022-10-14","2022-10-14","790","8","14","46.05682","14.50551","46.046377","14.501256","1207","12"
"245","2022-10-14","2022-10-14","790","14","16","46.046377","14.501256","46.05257","14.51928","1556","12"
"246","2022-10-14","2022-10-14","790","16","26","46.05257","14.51928","46.051439","14.49273","2059","14"
"247","2022-10-14","2022-10-14","790","26","1","46.051439","14.49273","46.051367","14.506542","1069","9"
"248","2022-10-14","2022-10-14","790","1","10","46.051367","14.506542","46.05763","14.514264","917","83"
"249","2022-10-14","2022-10-14","790","10","28","46.05763","14.514264","46.06942","14.51052","1342","12"
"250","2022-10-14","2022-10-14","790","28","62","46.06942","14.51052","46.077302","14.482581","2332","27"
"251","2022-10-14","2022-10-14","790","62","4","46.077302","14.482581","46.052431","14.503257","3194","23"
"252","2022-10-14","2022-10-14","790","4","52","46.052431","14.503257","46.052454","14.472149","2407","15"
"253","2022-10-12","2022-10-12","885","11","27","46.06005","14.51302","46.065136","14.509112","641","45"
"254","2022-10-12","2022-10-12","885","27","80","46.065136","14.509112","46.045","14.51846","2352","29"
"255","2022-10-12","2022-10-12","885","80","13","46.045","14.51846","46.047565","14.495687","1786","12"
"256","2022-10-12","2022-10-12","885","13","4","46.047565","14.495687","46.052431","14.503257","797","8"
"257","2022-10-12","2022-10-12","885","4","19","46.052431","14.503257","46.05952","14.4982","880","9"
"258","2022-10-12","2022-10-12","885","19","16","46.05952","14.4982","46.05257","14.51928","1805","12"
"259","2022-10-12","2022-10-12","885","16","24","46.05257","14.51928","46.05441","14.52978","838","9"
"260","2022-10-13","2022-10-13","885","24","46","46.05441","14.52978","46.059433","14.52051","909","11"
"261","2022-10-13","2022-10-13","885","46","9","46.059433","14.52051","46.057421","14.510265","824","9"
"262","2022-10-13","2022-10-13","885","9","7","46.057421","14.510265","46.054168","14.50706","438","6"
"263","2022-10-13","2022-10-13","885","7","23","46.054168","14.50706","46.04081","14.49951","1596","11"
"264","2022-10-13","2022-10-13","885","23","14","46.04081","14.49951","46.046377","14.501256","633","8"
"265","2022-10-13","2022-10-13","885","14","68","46.046377","14.501256","46.102446","14.530213","6623","60"
"266","2022-10-14","2022-10-14","885","68","42","46.102446","14.530213","46.08929","14.513751","1939","18"
"267","2022-10-14","2022-10-14","885","42","44","46.08929","14.513751","46.064546","14.518013","2770","12"
"268","2022-10-14","2022-10-14","885","44","12","46.064546","14.518013","46.06361","14.51315","390","35"
"269","2022-10-14","2022-10-14","885","12","40","46.06361","14.51315","46.039641","14.472664","4113","87"
"270","2022-10-14","2022-10-14","885","40","41","46.039641","14.472664","46.041753","14.477016","411","5"
"271","2022-10-14","2022-10-14","885","41","55","46.041753","14.477016","46.048982","14.522709","3627","33"
"272","2022-10-14","2022-10-14","885","55","83","46.048982","14.522709","46.021586","14.536745","3233","60"
"273","2022-10-14","2022-10-14","885","83","79","46.021586","14.536745","46.038866","14.517605","2426","21"
"274","2022-10-14","2022-10-14","885","79","61","46.038866","14.517605","46.036284","14.522948","503","9"
"275","2022-10-14","2022-10-14","885","61","55","46.036284","14.522948","46.048982","14.522709","1412","14"
"276","2022-10-14","2022-10-14","885","55","1","46.048982","14.522709","46.051367","14.506542","1279","24"
"277","2022-10-14","2022-10-14","885","1","4","46.051367","14.506542","46.052431","14.503257","280","32"
"278","2022-10-14","2022-10-14","885","4","44","46.052431","14.503257","46.064546","14.518013","1766","15"
